Fuel Type Code,Station Name,State,ZIP,Latitude,Longitude
ELEC,Action Nissan,TN,37211,36.110606,-86.743585
ELEC,Downtown Nashville Nissan,TN,37228,36.191053,-86.793132
ELEC,Carr Nissan,OR,97005,45.491783,-122.81107
ELEC,Lithia Nissan of Bend,OR,97701,44.055213,-121.277279
ELEC,Kiefer Nissan,OR,97330,44.572608,-123.258425
ELEC,Lithia Nissan of Eugene,OR,97401,44.05902085037804,-123.08139746322934
ELEC,Dick Hannah Nissan,OR,97027,45.378967,-122.603899
ELEC,Chuck Colvin Nissan,OR,97128,45.227394,-123.180863
ELEC,Lithia Nissan,OR,97504,42.379969,-122.858192
ELEC,Rustom Nissan - Portland,OR,97230,45.531759,-122.537403
ELEC,Nissan of Salem,OR,97302,44.921582,-123.006236
ELEC,Ray Schultens Nissan,OR,97058,45.613979,-121.20996
ELEC,Tonkin Nissan,OR,97070,45.326814,-122.770853
ELEC,Dick Smith Nissan,SC,29210,34.055164,-81.128164
ELEC,Dick Smith Nissan,SC,29072,33.997902,-81.222504
ELEC,Twin City Nissan,TN,37701,35.830725,-83.974822
ELEC,Wolfchase Nissan,TN,38133,35.205818,-89.791337
ELEC,Dutch Miller Nissan,TN,37620,36.54282,-82.2354
ELEC,Nissan of Chattanooga East,TN,37421,35.056433,-85.190515
ELEC,Benton Nissan - Hoover,AL,35216,33.394903,-86.807186
ELEC,Matt Bowers Nissan Eastern Shore,AL,36526,30.660697,-87.858464
ELEC,Lynn Layton Nissan,AL,35601,34.563857,-86.972193
ELEC,Jack Ingram Motors,AL,36117,32.376832,-86.208559
ELEC,Avondale Nissan,AZ,85323,33.459826,-112.284168
ELEC,AutoNation Nissan - Chandler,AZ,85286,33.286316,-111.791107
ELEC,Anderson Nissan,AZ,86404,34.54217,-114.35287
ELEC,East Valley Nissan,AZ,85206,33.385361,-111.695062
ELEC,Larry H Miller Nissan - Mesa,AZ,85201,33.434313,-111.872266
ELEC,Peoria Nissan,AZ,85382,33.636921,-112.253682
ELEC,ABC Nissan,AZ,85014,33.509862,-112.054162
ELEC,Coulter Nissan,AZ,85388,33.605183,-112.420442
ELEC,Midway Nissan,AZ,85023,33.639038,-112.108088
ELEC,Pinnacle Nissan,AZ,85260,33.635224,-111.915739
ELEC,AutoNation Nissan - Tempe,AZ,85284,33.346812,-111.967793
ELEC,Jim Click Nissan,AZ,85705,32.289823,-110.985646
ELEC,Thoroughbred Nissan,AZ,85711,32.207374,-110.881798
ELEC,Antioch Nissan,CA,94509,38.007799,-121.832042
ELEC,Nissan of Bakersfield,CA,93313,35.310723,-119.035324
ELEC,Buena Park Nissan,CA,90621,33.865497,-117.995215
ELEC,Carson Nissan,CA,90745,33.824968,-118.245675
ELEC,Palm Springs Nissan,CA,92234,33.78414,-116.471
ELEC,Cerritos Nissan,CA,90703,33.861544,-118.100471
ELEC,Chico Nissan,CA,95926,39.756332,-121.843715
ELEC,Puente Hills Nissan,CA,91748,33.997621,-117.928216
ELEC,Lithia Nissan - Clovis,CA,93612,36.836818,-119.717629
ELEC,Nissan of Serramonte,CA,94014,37.671267,-122.463541
ELEC,Autocom Nissan - Concord,CA,94520,37.980192,-122.050128
ELEC,Larry H Miller Nissan,CA,92882,33.88309,-117.615292
ELEC,Orange Coast Nissan,CA,92626,33.675397,-117.918684
ELEC,Hanlees Nissan,CA,95618,38.55252,-121.691555
ELEC,Downey Nissan,CA,90241,33.9473,-118.151166
ELEC,Nissan of Duarte,CA,91010,34.136553,-117.975944
ELEC,Mossy Nissan - El Cajon,CA,92020,32.795896,-116.976156
ELEC,Ross Nissan El Monte,CA,91731,34.069536,-118.026911
ELEC,Nissan of Elk Grove,CA,95757,38.402217,-121.385527
ELEC,Mossy Nissan - Escondido,CA,92029,33.116492,-117.106837
ELEC,McCrea Nissan,CA,95501,40.800562,-124.164405
ELEC,Future Nissan of Folsom,CA,95630,38.634132,-121.204871
ELEC,Fontana Nissan,CA,92336,34.135345,-117.445732
ELEC,Premier Nissan of Fremont,CA,94538,37.489389,-121.9576
ELEC,Lithia Nissan - Fresno,CA,93710,36.818622,-119.789796
ELEC,Garden Grove Nissan,CA,92844,33.766376,-117.968337
ELEC,Gardena Nissan,CA,90247,33.889201,-118.307028
ELEC,South County Nissan,CA,95020,36.996869,-121.558573
ELEC,Glendale Nissan,CA,91204,34.137054,-118.25536
ELEC,Santa Barbara Nissan,CA,93117,34.43427,-119.820934
ELEC,Hayward Nissan,CA,94544,37.662305,-122.075178
ELEC,Pedder Nissan,CA,92545,33.741163,-117.031718
ELEC,Surf City Nissan,CA,92647,33.71069,-117.989861
ELEC,Nissan of Irvine,CA,92618,33.632505,-117.723298
ELEC,Torre Nissan,CA,92253,33.70711,-116.283712
ELEC,Nissan of Downtown Los Angeles,CA,90015,34.035168,-118.273229
ELEC,Universal City Nissan,CA,90068,34.133446,-118.356601
ELEC,Razzari Nissan,CA,95340,37.305891,-120.502428
ELEC,Nissan of Mission Hills,CA,91345,34.269809,-118.466606
ELEC,Central Valley Nissan,CA,95356,37.705119,-120.99471
ELEC,Metro Nissan of Montclair,CA,91763,34.082404,-117.694876
ELEC,Metro Nissan of Redlands,CA,92374,34.065387,-117.212007
ELEC,Napa Nissan,CA,94559,38.292706,-122.277767
