,Fuel Type Code,Station Name,State,ZIP,Latitude,Longitude
64335,ELEC,UNION DEPOT PARKING LOT B1,MN,55101,44.947353,-93.085069
64336,ELEC,COURTYARDLC CP STATION 1,NM,88005,32.28201,-106.764609
64337,ELEC,BWP EV CHARGE WR#2,CA,91502,34.181103,-118.310037
64338,ELEC,BWP EV CHARGE WR #1,CA,91502,34.181061,-118.31008
64339,ELEC,PERFVOLVO5050 BAY 1,PA,19608,40.326338,-76.064428
64340,ELEC,CITY OF BOSTON MUNI LOT 8 #3,MA,02131,42.28752,-71.12831
64341,ELEC,CITY OF BOSTON MUNI LOT 8 #2,MA,02131,42.287483,-71.12834
64342,ELEC,RED HAWK CASINO EVC #3 & #4,CA,95667,38.695734,-120.907986
64343,ELEC,RED HAWK CASINO EVC #7 & #8,CA,95667,38.69583,-120.908084
64344,ELEC,RED HAWK CASINO EVC #5 & #6,CA,95667,38.695778,-120.908012
64345,ELEC,CITY OF BOSTON MUNI LOT 8 #4,MA,02131,42.287466,-71.128355
64346,ELEC,RED HAWK CASINO EVC #1 & #2,CA,95667,38.695681,-120.907928
64347,ELEC,CITY OF BOSTON MUNI LOT 8 #1,MA,02131,42.287422,-71.12838
64348,ELEC,RED HAWK CASINO EVC #9 & #10,CA,95667,38.695889,-120.908161
64349,ELEC,BWP EV CHARGE ONTARIO,CA,91504,34.198936,-118.344536
64350,ELEC,621 CAPITOL MAL DUAL CHARGER #2,CA,95814,38.57868,-121.49901
64351,ELEC,CITY OF BOSTON MUNI LOT 32 #1,MA,02130,42.317867,-71.11235
64352,ELEC,CITY OF BOSTON MUNI LOT 32 #2,MA,02130,42.317843,-71.11234
64353,ELEC,CITY OF BOSTON MUNI LOT 10 #1,MA,02132,42.285763,-71.15396
64354,ELEC,CITY OF BOSTON MUNI LOT 10 #2,MA,02132,42.285717,-71.153929
64355,ELEC,CITY OF BOSTON MUNI LOT 23 #1,MA,02121,42.308972,-71.084002
64356,ELEC,CITY OF BOSTON MUNI LOT 23 #2,MA,02121,42.309073,-71.083933
64357,ELEC,Mississauga Central Library,ON,L5B 3Y3,43.588413,-79.642544
64358,ELEC,777 Garner Rd E,ON,L9K 1J4,43.207615,-79.948912
64359,ELEC,"1 Green Street, St. Clements",ON,N0B 2M0,43.526972,-80.648944
64360,ELEC,Waterloo Memorial Recreation Complex,ON,N2L 0B4,43.464469,-80.531841
64366,ELEC,MVIC 1,CO,80021,39.915115,-105.106148
64367,ELEC,MVIC 2,CO,80021,39.914757,-105.107826
64368,ELEC,MVIC 3,CO,80021,39.914872,-105.104325
64369,ELEC,MVIC 4,CO,80021,39.913159,-105.106581
64370,ELEC,Wyndham Garden Hotel,CA,95834,38.652,-121.510075
64371,ELEC,Carver Community Cultural Center,TX,78202,29.42191,-98.473489
64372,ELEC,Lenox Park,TN,38115,35.061122,-89.841393
64373,ELEC,"Walgreens - Everett, WA #4730",WA,98208,47.8789325,-122.2071316
64374,ELEC,Public Safety #4,WA,98020,47.8124532,-122.3758246
64375,ELEC,City Hall #2,WA,98020,47.8113372,-122.37709
64376,ELEC,Hilton Garden Inn Redmond,WA,98052,47.6733025,-122.1186641
64377,ELEC,"Walgreens - Kirkland, WA #4156",WA,98033,47.67881,-122.17536
64378,ELEC,Ballard Flats,WA,98107,47.6743748,-122.3878536
64379,ELEC,Port of Seattle - Shilshole Bay Marina South Lot,WA,98117,47.6807529,-122.4047949
