,Fuel Type Code,Station Name,Street Address,City,State,ZIP,Latitude,Longitude
25989,ELEC,Joel Palmer House Restaurant,600 Ferry Street,Dayton,OR,97114,45.2179069,-123.079714
25991,ELEC,"Walgreens - Longmont, CO #9598",1041 Main Street,Longmont,CO,80501,40.1768864,-105.1024675
25993,ELEC,Best Western McMinnville Inn,2035 Oregon 99W,McMinnville,OR,97128,45.1935579,-123.2109633
25999,ELEC,Kaiser - Keizer Station Dental,5910 Ulali Drive,Keizer,OR,97303,45.0074688,-122.998486
26003,ELEC,Gold Run Health Club 2,2959 Shadow Creek Drive,Boulder,CO,80303,40.0105129,-105.2550319
26004,ELEC,Gold Run Health Club 1,2959 Shadow Creek Drive,Boulder,CO,80303,40.0103278,-105.2539085
26006,ELEC,Andante Vineyard Main,3855 Morris Road,Dallas,OR,97338,44.989966820463,-123.27233844072
26007,ELEC,"Walgreens - Salem, OR #11173",4760 S Liberty Rd,Salem,OR,97302,44.888866,-123.05999
26008,ELEC,Camden Flatirons,120 Edgeview Drive,Broomfield,CO,80021,39.916527,-105.101792
26009,ELEC,8000 Uptown,8000 Uptown Avenue,Broomfield,CO,80021,39.900926226545,-105.08585417777
26010,ELEC,Willamette Valley Vineyards,8800 Enchanted Way SE,Turner,OR,97392,44.827453,-123.0110757
26011,ELEC,"Walgreens - Westminster, CO #4468",9970 Wadsworth Pkwy,Westminster,CO,80021,39.8777387,-105.0955086
26012,ELEC,Station A at Gateway Park,4450 N Kittredge St,Denver,CO,80239,39.7784401,-104.8012671
26013,ELEC,"Walgreens - Arvada, CO #9034",6603 Wadsworth Blvd,Arvada,CO,80003,39.8135152,-105.0813798
26014,ELEC,530301 : Riverview at 1700 Platte,1700 Platte Street,Denver,CO,80202,39.758634,-105.0059349
26015,ELEC,2785 Speer Apartments,2785 Speer Blvd.,Denver,CO,80211,39.7564541,-105.0171538
26016,ELEC,530309 : 16 Chestnut,1681 Chestnut Place,Denver,CO,80202,39.7545596,-105.0031532
26017,ELEC,530306 : 1900 16th St Parking Garage,1515 Delgany Street,Denver,CO,80202,39.7532052,-105.0040775
26018,ELEC,1800 Larimer,"1800 Larimer Street, Suite 1800",Denver,CO,80202,39.7512822,-104.9944365
26019,ELEC,20th Street Station,2080 California St,Denver,CO,80205,39.7496899,-104.986315
